dispatcher_pc,dispatcher_label,index_source,index_math,mask_shift_add_operations,table_address,entry_width,entry_count,entry_index,entry_value,resolved_target,target_label,target_write_targets,candidate_subsystem,confidence,notes
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,0,$7AA6,L7AA6,L7AA6,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry 0
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,1,$7AAD,L7AAD,L7AAD,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry 1
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,2,$7AB7,L7AB7,L7AB7,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry 2
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,3,$7ABD,L7ABD,L7ABD,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry 3
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,4,$7AC7,L7AC7,L7AC7,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry 4
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,5,$7B03,L7B03,L7B03,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry 5
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,6,$7B14,L7B14,L7B14,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry 6
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,7,$7B1B,L7B1B,L7B1B,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry 7
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,8,$7B2B,L7B2B,L7B2B,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry 8
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,9,$7B2F,L7B2F,L7B2F,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry 9
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,10,$7B39,L7B39,L7B39,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry A
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,11,$7B3D,L7B3D,L7B3D,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry B
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,12,$7B44,L7B44,L7B44,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry C
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,13,$7B48,L7B48,L7B48,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry D
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,14,$7B52,L7B52,L7B52,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry E
7A4F,major_loop_dispatcher,LDAB L0002,ANDB #$0F; ASLB; ABX; LDX 0,X; JSR 0,X,mask 0x0F; multiply entry index by 2; add to $7A85,$7A85,16-bit target address,16,15,$7B5A,L7B5A,L7B5A,pending landing-routine write-network join,major-loop scheduler,high,major-loop table entry F
FAA5,output_control_block_dispatcher,L038E output control block pointer,LDX L038E; JSR 0,X,computed indirect call through output control block,,unknown,unknown,,,0,X,,pending,ALDL/output-control dispatcher,medium,output-control path must not be treated as production fuel/spark/IAC scheduler without proof
C3A8,indexed_jump_candidate,static context required,JMP $0008,X,unresolved indexed JMP,,unknown,unknown,,,"$0008,X",,pending,unknown/mixed,low,retained for dispatcher review
C3AA,indexed_jump_candidate,static context required,JMP $0019,X,unresolved indexed JMP,,unknown,unknown,,,"$0019,X",,pending,unknown/mixed,low,retained for dispatcher review
FAA5,indexed_jsr_candidate,L038E output control block pointer,JSR 0,X,computed indirect call,,unknown,unknown,,,0,X,,pending,ALDL/output-control dispatcher,medium,retained for reverse-map review
