contract_name,address,pc,mnemonic,access_type,width,bitmask,value_source,routine_label,subsystem,constant_or_variable,runtime_or_init,nearest_spark_candidate_pc,relative_to_candidate,contract_action,possible_role,required_for_minimal_os,confidence,notes
SPARK_ASIC_HANDOFF,0x3FFC,0x713A,STX L3FFC,W,16,,X,L7100,IO_LATCH_OUTPUT,variable,boot_init,0x3FF6,6,output_mode_write,global output latch / I/O D; separate contract,separate_output_latch_contract,high,ASIC I/O D port / external output latch | I/O D PORT ..
SPARK_ASIC_HANDOFF,0x3FFC,0x7140,LDD L3FFC,R,16,,memory,L7100,IO_LATCH_OUTPUT,memory,boot_init,0x3FF6,6,output_latch_read,global output latch / I/O D; separate contract,separate_output_latch_contract,high,ASIC I/O D port / external output latch | I/O D PORT ..
SPARK_ASIC_HANDOFF,0x3FFC,0x714A,STD L3FFC,W,16,,D,L7100,IO_LATCH_OUTPUT,variable,boot_init,0x3FF6,6,output_mode_write,global output latch / I/O D; separate contract,separate_output_latch_contract,high,ASIC I/O D port / external output latch | I/O D PORT ..
SPARK_ASIC_HANDOFF,0x3FC0-0x3FF8,0x715B,"STD 0,X",W,16,,D,L7100,OTHER,variable,boot_init,0x3FE6,-38,boot_asic_window_clear,boot clear of ASIC window including spark candidates,init_contract_overlap,medium_range_inferred,loop clears even ASIC words from $3FC0 through before $3FFA | ASIC last DRP/ref period counter | indexed_resolved
SPARK_ASIC_HANDOFF,0x3FFC,0x71BD,STX L3FFC,W,16,,X,L7100,IO_LATCH_OUTPUT,variable,boot_init,0x3FF6,6,output_mode_write,global output latch / I/O D; separate contract,separate_output_latch_contract,high,ASIC I/O D port / external output latch | I/O D PORT ..
SPARK_ASIC_HANDOFF,0x3FFC,0x71EF,LDD L3FFC,R,16,,memory,L7100,IO_LATCH_OUTPUT,memory,boot_init,0x3FF6,6,output_latch_read,global output latch / I/O D; separate contract,separate_output_latch_contract,high,ASIC I/O D port / external output latch | I/O D PORT ..
SPARK_ASIC_HANDOFF,0x3FFC,0x71F7,STD L3FFC,W,16,,D,L7100,IO_LATCH_OUTPUT,variable,boot_init,0x3FF6,6,output_mode_write,global output latch / I/O D; separate contract,separate_output_latch_contract,high,ASIC I/O D port / external output latch | I/O D PORT ..
SPARK_ASIC_HANDOFF,0x3FEA,0x74DF,STD L3FEA,W,16,,D=0xDFFF,L74D3,FUEL_MATH_HANDOFF,constant,non_spark_or_unknown,0x3FE8,2,other_asic_output_command,fuel/output candidate; verify not spark mode companion,not_primary_spark_until_proven,high,ASIC fuel/scheduler command candidate B
SPARK_ASIC_HANDOFF,0x3FFA,0x7765,LDD L3FFA,R,16,,memory,L7765,ASIC_STATUS_REF,memory,non_spark_or_unknown,0x3FF6,4,est_status_read,packed ASIC status read,test_item_status_decode,high,ASIC packed hardware status
SPARK_ASIC_HANDOFF,0x3FFA,0x7BF6,LDD L3FFA,R,16,,memory,L7BA7,ASIC_STATUS_REF,memory,non_spark_or_unknown,0x3FF6,4,est_status_read,packed ASIC status read,test_item_status_decode,high,ASIC packed hardware status
SPARK_ASIC_HANDOFF,0x3FF2,0x8571,STD L3FF2,W,16,,D,L8548,ASIC_UNKNOWN,variable,non_spark_or_unknown,0x3FF6,-4,other_asic_output_command,window row; classify by bench,not_primary_spark_until_proven,high,ASIC output/scheduler candidate
SPARK_ASIC_HANDOFF,0x3FFC,0x8577,LDD L3FFC,R,16,,memory,L8548,IO_LATCH_OUTPUT,memory,non_spark_or_unknown,0x3FF6,6,output_latch_read,global output latch / I/O D; separate contract,separate_output_latch_contract,high,ASIC I/O D port / external output latch | I/O D PORT ..
SPARK_ASIC_HANDOFF,0x3FFC,0x857F,STD L3FFC,W,16,,D,L8548,IO_LATCH_OUTPUT,variable,non_spark_or_unknown,0x3FF6,6,output_mode_write,global output latch / I/O D; separate contract,separate_output_latch_contract,high,ASIC I/O D port / external output latch | I/O D PORT ..
SPARK_ASIC_HANDOFF,0x3FFC,0x8587,STD L3FFC,W,16,,D,L8548,IO_LATCH_OUTPUT,variable,non_spark_or_unknown,0x3FF6,6,output_mode_write,global output latch / I/O D; separate contract,separate_output_latch_contract,high,ASIC I/O D port / external output latch | I/O D PORT ..
SPARK_ASIC_HANDOFF,0x3FF6,0xAB97,ADDD L3FF6,R,16,,ADDD,LA906,SPARK_EST,variable,runtime_spark_calc,0x3FF6,0,ref_timing_read,EST fall counter / scheduling basis,yes_or_test_item_for_spark,high,ASIC EST fall counter / output scheduler | EST FALL CNT'R
SPARK_ASIC_HANDOFF,0x3FF6,0xABA4,SUBD L3FF6,R,16,,SUBD,LA906,SPARK_EST,variable,runtime_spark_calc,0x3FF6,0,ref_timing_read,EST fall counter / scheduling basis,yes_or_test_item_for_spark,high,ASIC EST fall counter / output scheduler | EST FALL CNT'R
SPARK_ASIC_HANDOFF,0x3FE8,0xABAA,STD L3FE8,W,16,,D,LA906,SPARK_EST,variable,runtime_spark_calc,0x3FE8,0,spark_delay_write,runtime spark/EST timing handoff candidate,yes_or_test_item_for_spark,high,ASIC EST/spark timing output engine
